uid,issue_age,service_score,age_days,issue_days,is_bad
564053445713921,9,93,10940,3450,0
564261894103040,9,86,11803,3345,0
564413395502735,4,92,10827,1518,0
564557809978609,4,88,13831,1529,1
565172787943979,11,99,11979,4283,0
565229856499567,14,91,13524,5429,0
565338692853669,11,80,12763,4057,0
565826087690520,9,95,11012,3450,0
580542145287413,6,97,10209,2216,0
580542284112917,5,80,12813,2153,0
580542286884331,4,95,10741,1697,0
563606731235329,8,90,14154,3239,0
563764122746882,19,95,14584,6975,0
563808149835779,14,94,13150,5324,0
564170300522496,7,92,10685,2608,0
564206617894912,7,90,12336,2617,0
564282602094592,4,93,12636,1563,0
565089946051758,10,91,12520,3754,0
565568581147469,14,82,12120,5288,0
565903689065603,11,84,12023,4134,0
565974074204352,18,88,14258,6735,0
566250712273346,4,84,12452,1746,0
567950074596046,5,93,9420,1914,0
567950083652951,9,93,14048,3634,0
567950139480282,5,90,14123,2040,0
567950191168404,5,95,10135,2083,0
567950191624078,7,93,10350,2579,0
580542280268746,9,87,10040,3297,0
580542287626352,26,98,17973,9843,0
580542298551068,4,96,8917,1733,0
563578240901120,5,89,11676,2160,0
563685056970752,4,97,14917,1570,0
563855662317569,5,84,9361,1921,0
564124480770048,11,91,11704,4157,0
565030784738897,6,92,12271,2213,0
565915519490322,6,91,12409,2454,0
566182598872326,4,89,9203,1495,0
566339764488130,8,93,11332,3141,0
567950047868721,6,89,11672,2419,0
580542169986942,10,84,11003,3813,0
580542228564017,8,93,11519,3265,0
580542305050137,23,89,17030,8741,0
580542314898425,4,89,11141,1811,0
563430619742208,13,85,14968,4811,0
563764494737411,10,90,12276,3777,0
563853977583616,11,92.95,11905,4090,0
564069884166146,4,88,10194,1609,0
564895357731804,16,98,15496,6085,0
565401342254562,7,89,11378,2589,0
565490610210771,6,95,9855,2279,0
565548034827022,4,84,10563,1649,0
566203500989095,15,67,12481,5787,0
566260600278988,16,86,13415,5987,0
580542228933806,10,78,13923,3763,0
580542255331449,4,83,10076,1762,0
580542297143526,6,80,9930,2399,0
580542321979886,9,86,11358,3586,0
563518625218561,7,97,11250,2875,0
564619877817585,11,100,18183,4325,0
565535553359889,22,100,15714,8255,0
565710824613738,8,96,11518,2970,0
565911446497894,3,86,10453,1229,0
580542157816051,4,93,13739,1528,0
580542264670841,5,99,10913,1987,0
580542274115441,7,90,14362,2908,0
580542306965621,10,100,11456,3719,1
580542327029384,8,97,12605,3253,0
563457764433920,5,97,13640,2027,0
564067013951488,4,82,14889,1515,0
564506379362968,4,99,12130,1628,0
565064757880353,7,96,14719,2733,0
565485770446348,6,83,11460,2412,0
565613815802384,12,74,12031,4664,0
566233651687206,20,88,18095,7342,0
567949960970338,25,92,17143,9468,0
567950051368394,11,88,11769,4150,0
567950188838430,17,93,13110,6339,0
580542159976420,13,91,14079,5080,0
580542239157172,7,87,10568,2594,0
580542254146200,3,96,9465,1369,0
580542278207952,3,85,10985,1446,0
580542289028644,4,93,10522,1790,0
580542301713390,7,76,11288,2727,0
580542308166730,3,85,9670,1392,0
563130039472134,23,87,18196,8742,0
563403896655872,7,90,10738,2749,0
563735412080643,7,85.3,9499,2767,0
563813029707779,5,100,12745,2092,0
563813898452994,10,81,15914,3700,0
564861161898585,6,92,12599,2218,0
565179017338999,8,86,10176,2929,0
565371932124160,3,82,10963,1221,0
565666903174725,18,85,14870,6780,0
565905447857601,8,89,13512,3278,0
565956555773370,10,95,13501,3889,0
567950007659531,13,64,17625,4985,0
567950007993333,7,87,10229,2714,0
567950193080405,9,85,13251,3436,0
580542159635286,6,88,11962,2235,0
580542240895033,5,90,9505,2006,0
580542241771117,4,99,10003,1758,0
580542253379453,6,92,10518,2253,0
580542268763071,5,86,9968,2149,0
580542270464675,10,94,11633,3884,0
580542276378423,6,93,12725,2551,0
580542277438441,4,91,10273,1733,0
580542298315231,4,99,9717,1815,0
580542336447101,11,90,13305,4295,0
563389016047616,15,97,13725,5760,0
563524070019072,3,95,10773,1433,0
563780555706369,11,92,13372,4017,0
564165205041152,6,89,11092,2287,0
564415133716291,9,90,11960,3398,0
564941539582632,11,100,12577,4190,0
565028396205287,21,78,17232,7846,0
565150447898402,5,99,13551,2088,0
565253758915172,9,89,10686,3624,0
565429117853699,16,88,13711,5970,0
565463594246035,6,92,11512,2425,0
566372226637992,8,78,11183,3034,0
567949979394088,5,89,10284,2146,0
567950173590266,4,79,10461,1498,0
580542226781288,11,86,12909,4101,0
580542262736734,7,82,9688,2854,0
580542290518027,4,80,11960,1500,0
580542292252982,11,81,13589,4181,0
564852182425231,8,95,10757,3201,0
565506924749722,22,93,16128,8331,0
566017494485407,5,89,9608,1972,0
566091240444884,12,94,19000,4567,0
567950011741573,8,70,10134,3259,0
580542171904507,6,74,14621,2239,0
580542173186483,7,83,10016,2876,0
580542183350103,7,95,18010,2842,0
580542260332646,3,71,11890,1383,0
580542279385386,9,80,11466,3355,0
580542281758305,7,85,11373,2799,0
565552199964719,8,71,11640,3196,0
565722320348823,9,88,14089,3378,0
567949976275018,8,93,11560,2994,0
567950073162456,5,91,9968,1916,0
567950195232154,6,100,12675,2322,0
580542264200498,7,90,11682,2917,0
580542278678538,13,94,13896,4883,0
564226688225284,-1,89,10245,-1,0
565072543229450,10,95,12231,3763,0
566010101569015,17,91,13174,6346,0
566270263364828,7,99,12931,2768,0
567949984884249,7,88,10808,2852,0
567950016365051,11,97,12935,4091,0
567950048244941,6,95,9050,2272,0
567950067526208,9,100,12350,3394,0
567950125167891,8,84,14805,3205,0
567950140322025,11,86,11505,4273,0
567950189836191,13,93,17515,4857,0
580542159077993,11,90,12641,4315,0
580542177658543,15,80,12723,5701,0
580542230957181,6,90,11707,2444,0
580542241950165,17,86,13030,6268,0
580542265795886,5,82,9279,1901,0
580542273007463,12,94,11354,4457,0
580542277046729,5,87,13228,2157,0
580542304781901,8,83,10296,3174,0
580542315740127,3,88,11160,1365,0
563632378413056,9,95,13637,3419,0
564465728623066,4,98,10193,1727,0
564535048350399,3,93,10421,1321,0
566239159456682,23,94,15695,8413,0
567950064286736,4,90,12238,1822,0
567950086667505,6,99,10456,2370,0
567950146739322,6,87,12302,2438,0
567950196746760,9,89,13394,3625,0
580542148105814,5,94,13322,1903,0
580542249331332,4,88,8444,1560,0
580542266720286,6,84,9615,2277,0
580542310986658,15,89,16367,5815,0
563475796660225,10,80,11891,3971,0
563907024257025,6,91,9673,2398,0
564800261729921,8,92,11125,3008,0
564815507500499,10,87,17984,3808,0
565043727575026,8,97,12172,2988,0
565303693284823,10,95,11760,3999,0
565314892011489,11,89,13384,4293,0
565746713167136,4,97,11030,1805,0
566393032022770,7,78,13850,2827,0
567950006888219,4,89,11463,1566,0
567950107570869,4,91,9992,1732,0
580542146848365,7,98,10759,2747,0
580542240914929,12,85,11442,4483,0
580542257102802,8,98,13562,2988,0
580542261180831,5,96,10021,2102,1
